12	1.81372	1.07793	1.43658
16	1.69042	1.12048	1.41419
20	1.62491	1.11278	1.38448
24	1.57902	1.10143	1.35449
28	1.54576	1.0908	1.36653
32	1.51431	1.09156	1.34085
36	1.5007	1.07607	1.38864
40	1.47599	1.07817	1.32489
44	1.44705	1.07497	1.29303
48	1.44399	1.06227	1.31107
52	1.42425	1.06348	1.2897
56	1.41831	1.05671	1.2925
60	1.40468	1.04398	1.31299
64	1.39861	1.04411	1.3165
68	1.39497	1.0396	1.31009
72	1.38467	1.03952	1.30576
76	1.37794	1.0293	1.32873
80	1.37161	1.03121	1.29663
84	1.36723	1.03019	1.30463
88	1.35608	1.02675	1.30353
92	1.35202	1.02115	1.27578
96	1.34923	1.01826	1.30134
100	1.34569	1.01574	1.28529
104	1.33653	1.01545	1.31612
108	1.33603	1.00931	1.29866
112	1.34009	1.00767	1.27991
116	1.33141	1.00483	1.30267
120	1.32981	1.00139	1.31535
124	1.32625	0.996335	1.30833
128	1.31806	0.998566	1.31403
132	1.31677	0.996991	1.29677
136	1.31264	0.993733	1.31839
140	1.31057	0.991929	1.29536
144	1.30935	0.990139	1.31332
148	1.31321	0.988572	1.2886
152	1.3003	0.988212	1.3272
156	1.29607	0.985563	1.32748
160	1.30269	0.979646	1.28607
164	1.29674	0.980455	1.30974
168	1.29195	0.978229	1.31664
172	1.2989	0.973854	1.30781
176	1.30218	0.969932	1.30373
180	1.28756	0.970752	1.33753
184	1.28183	0.971825	1.32373
188	1.28536	0.974064	1.30618
192	1.28565	0.966207	1.32921
196	1.28323	0.970608	1.29466
200	1.27837	0.962114	1.33037
204	1.2765	0.969721	1.2856
208	1.28169	0.960644	1.31142
212	1.27853	0.962439	1.30117
216	1.27281	0.958899	1.32865
220	1.27705	0.95943	1.28939
224	1.27271	0.963525	1.28446
228	1.27409	0.957519	1.2974
232	1.27035	0.96224	1.28462
236	1.27233	0.953179	1.30971
240	1.26164	0.960859	1.26955
244	1.26463	0.953285	1.31458
248	1.2648	0.953392	1.3096
252	1.2621	0.954032	1.28569
256	1.26177	0.95043	1.29662
260	1.26497	0.947135	1.30107
264	1.26476	0.947128	1.2877
268	1.25872	0.946843	1.28856
272	1.25857	0.942954	1.30309
276	1.25922	0.949709	1.29393
280	1.25903	0.947798	1.26748
284	1.25446	0.944368	1.28362
288	1.25117	0.940652	1.29657
292	1.26094	0.940357	1.28402
296	1.25347	0.941338	1.28357
300	1.25217	0.938682	1.28244
304	1.25273	0.942583	1.26584
308	1.25319	0.940591	1.2852
312	1.2509	0.938191	1.27427
316	1.25083	0.938736	1.27729
320	1.25111	0.939293	1.26794
324	1.25256	0.933094	1.2702
328	1.25055	0.932084	1.27596
332	1.24822	0.932464	1.2563
336	1.24534	0.930277	1.28113
340	1.24968	0.929028	1.27324
344	1.24263	0.939971	1.24848
348	1.25044	0.928329	1.26132
