12	1.69652	0.96692	1.26893
16	1.59404	1.01303	1.26243
20	1.54003	1.01075	1.24238
24	1.50113	1.00489	1.21794
28	1.47388	0.996021	1.23281
32	1.44643	0.997633	1.215
36	1.43557	0.985011	1.26219
40	1.41375	0.987467	1.2057
44	1.38717	0.985569	1.17677
48	1.38556	0.974466	1.19684
52	1.36791	0.976003	1.1771
56	1.36255	0.970574	1.18316
60	1.35016	0.959424	1.20379
64	1.34489	0.959297	1.20889
68	1.3421	0.955496	1.20545
72	1.33281	0.955085	1.20221
76	1.32643	0.946197	1.2267
80	1.3206	0.948734	1.19415
84	1.31714	0.94738	1.20563
88	1.30659	0.944434	1.20608
92	1.30299	0.939656	1.17934
96	1.3003	0.936727	1.2048
100	1.2967	0.934802	1.18989
104	1.28822	0.934078	1.22373
108	1.28827	0.928677	1.20461
112	1.29247	0.927613	1.18745
116	1.28337	0.925202	1.21106
120	1.28228	0.922144	1.22309
124	1.27885	0.917104	1.2169
128	1.27134	0.918909	1.22531
132	1.2707	0.917345	1.21001
136	1.26563	0.914644	1.23258
140	1.26489	0.912711	1.21042
144	1.26367	0.910831	1.23
148	1.26689	0.910082	1.20368
152	1.25414	0.909018	1.24494
156	1.2506	0.906355	1.24622
160	1.25703	0.901383	1.20374
164	1.25065	0.902147	1.22945
168	1.24612	0.90079	1.23282
172	1.25301	0.896626	1.22601
176	1.2569	0.892993	1.22207
180	1.24215	0.892031	1.26556
184	1.23647	0.894371	1.24524
188	1.2399	0.896027	1.23033
192	1.24002	0.888474	1.25347
196	1.23786	0.89307	1.21759
200	1.23338	0.884636	1.2555
204	1.23118	0.892357	1.21015
208	1.23689	0.883718	1.23508
212	1.23323	0.885966	1.22461
216	1.22697	0.882705	1.25177
220	1.2314	0.883795	1.21163
224	1.22751	0.886252	1.21395
228	1.22906	0.880841	1.22605
232	1.22502	0.885051	1.21779
236	1.22656	0.877159	1.23785
240	1.21604	0.884624	1.1996
244	1.21912	0.876871	1.25007
248	1.21955	0.876891	1.24067
252	1.21744	0.877157	1.2157
256	1.21674	0.873702	1.23176
260	1.21926	0.870352	1.23631
264	1.21845	0.871951	1.21978
268	1.21329	0.871228	1.21978
272	1.21262	0.867577	1.2345
276	1.2134	0.873474	1.2315
280	1.21384	0.872156	1.19891
284	1.20888	0.868627	1.21826
288	1.20555	0.865645	1.22786
292	1.21448	0.864617	1.22151
296	1.20795	0.865885	1.21907
300	1.20649	0.862815	1.22179
304	1.20768	0.866851	1.20081
308	1.20825	0.863157	1.23003
312	1.20535	0.863028	1.20849
316	1.20525	0.862754	1.21569
320	1.2053	0.863504	1.20539
324	1.2065	0.857434	1.21186
328	1.20627	0.855434	1.2173
332	1.20263	0.857784	1.19037
336	1.19961	0.854252	1.22439
340	1.2041	0.854073	1.21015
344	1.19752	0.864449	1.18512
348	1.20493	0.85254	1.20366
